a,a:一|d:一道
go against conscience,v:亏心
go against the stream,v:反潮流
go ahead,"v:上,前进"
go ahead boldly,v:一往无前
go ahead regardless,v:豁出去
go ahead with,v:继续
go all lengths,"v:无所不为,无所顾忌"
go all out,"v:大干,卖劲,放手,鼓足"
go all over,v:走遍
go along,"v:随行,进行"
go along with,"v:同意,随同,陪伴"
go around,"v:踅,跑遍,流行,团团转,围绕"
go around spreading,v:奔走相告
go astern,v:退后
go astray,"v:失足,落水"
go away,"v:颠,带走,离去,走开,走,离开"
go away angrily,v:拂衣而去
go away forever,v:一去不返
go away suddenly,v:扬长而去
go away with,v:带走
go awry,v:出错
go back,"v:返回,研究,还,回,退回,走下坡路"
go back from,v:违背
go back on,"v:违背,背叛,失"
go back to,v:归
go back upon,"v:违背,背叛"
go backwards,v:倒退
go bad,"v:变质,腐败,坏"
go bail for,v:担保
go bankruptcy,v:破产
go before,v:超过
go begging,"v:无人问津,乞讨"
go behind,"v:斟酌,调查,亏本,摸底,推敲"
go between,v:调停
go beyond,"v:逾越,超过,逾,出,过,躐,越过,超"
go blind,v:失明
go boating,"v:划船,泛舟"
go bust,v:破产
go by,"v:称为,走过,依照,凭,经过"
go by bus,v:坐车
go canvassing,v:摇唇鼓舌
go counter to,"v:违反,悖"
go crazy,"v:发昏,疯魔,发狂"
go deep into,v:深入
go down,"v:屈服,落,减少,减退,吞服,沉没,跌落,减弱,跌,伏,下去,平静,下降"
go downhill,"v:下山,走下坡路,衰落,堕落"
go easy,v:从容不迫
go even further,v:变本加厉
go extremely fast,v:追风逐电
go far,"v:足够,耐久"
go far away,v:远走高飞
go fifty-fifty,v:对开
go fishing,v:钓鱼
go flat,v:撒气
go for,"v:找,袭击,赞成"
go for a drive,v:兜风
go forth,"v:发行,外出"
go forward,"v:上进,前"
go forward together,v:齐头并进
go ghost,v:在天之灵
go glimmering,v:消失
go halves,"v:均分,平分秋色"
go hiking,v:远足
go home,v:腐败
go hungry,"v:喝西北风,饿饭,断炊,断顿"
go hunting,"v:出猎,行猎"
go in,"v:开进,进入,参与,进去"
go in dark,"v:摸黑,摸黑儿"
go in for,"v:闹,从事,搞,爱好,赞成"
go in with,"v:参加,加入"
go into,"v:放出,究,加入,成为,深究,调查,进入,从事"
go into action,"v:发作,出动"
go into battle,v:杀
go into business,v:经商
go into details,v:不厌其详
go into effect,v:施行
go into exile,"v:亡命,播"
go into hide,v:猫
go into hiding,"v:躲藏,匿影藏形,藏匿,隐藏,藏身,藏踪,逃匿,藏躲"
go into liquidation,v:倒闭
go into mourning,v:居丧
go into operation,"v:开业,生效,投产,开工"
go into particulars,v:缕述
go into raptures,"v:欣喜若狂,兴高采烈"
go into recess,v:休会
go into retirement,v:退隐
go into town,v:进城
go it alone,v:单干
go like wildfire,v:畅销
go mad,v:发狂
go moldy,v:发霉
go no further,v:止步
go north,v:北上
go off,"v:逃走,进行,出嫁,发火,拐走,经过,喋喋不休,抢走,死,挥发"
go off smoothly,v:一帆风顺
go off stage,v:下场
go off with,v:抄
go on,"v:接近,下去,接着,进行,继续,延续,责骂,胡作非为,依据,过去"
go on an expedition,v:出征
go on duty,v:上班
go on errands,v:跑腿儿
go on foot,"v:走路,步,行走"
go on for,v:接近
go on patrol,"v:巡行,巡逻"
go on shore,v:上岸
go on stage,v:上台
go on strip,v:登程
go on the rampage,v:横冲直撞
go on with,v:继续
go out,"v:出,出外,出版,出国,出去,过去,下台,倒塌,退职,辞职,衰老"
go out abruptly,v:拂袖而去
go out of,"v:超出,脱离"
go out to battle,v:出征|n:出战
go over,"v:参观,成功,过去,阅,走过,过,越过,渡过,延期,温,转向,复习,温习"
go over board,v:偏爱
go over to,"v:转向,渡过"
go overseas,v:出国
go pop,v:破裂
go round,n:绕
go shares,"v:平分,均分"
go shares in,"v:分担,分享"
go shopping,"v:上街,采购"
go short of,v:缺乏
go sightseeing,"v:游园,观光"
go sight-seeing,"v:游览,游玩,游逛"
go smoothly,"v:得手,顺遂,亨"
go soft,v:撒气
go steadily downhill,"v:每况愈下,滑坡"
go straight through,v:穿过
go straight towards,v:奔
go straightway to,v:直奔
go the rounds,"v:巡行,满天飞,传遍"
go through,"v:钻,过,经过,审查,完成,经验,通行,熬,穿,涉,通过"
go through hardships,v:辛苦
go through with,v:完成
go to,"v:总共,去,如,通,投,造,赴,前去,投奔,就,上,下"
go to backbone,v:地地道道
go to bath,v:滚蛋
go to bed,"v:睡觉,歇,歇息,就寝"
go to church,v:做礼拜
go to class,v:上课
go to court,"v:觐见,打官司"
go to debarkation,v:登陆
go to extremes,"v:过度,过火,走极端,偏激"
go to heaven,v:死亡
go to hell,"v:见鬼,滚开,死亡"
go to hometown,v:回老家
go to law,v:打官司
go to market,v:赶集
go to meet,v:迎
go to pieces,v:崩溃
go to school,"v:就学,求学"
go to sea,v:放洋
go to see,v:拜访
go to sleep,"v:入睡,睡觉"
go to town,v:寻欢作乐
go to war,"v:打仗,大动干戈"
go to waste,v:付诸东流
go to west,v:一命呜呼
go to work,v:上工
go together,"v:携手并肩,相辅而行,相配,配合,随行"
go too far,v:过分
go towards,"v:迫,迤"
go under,"v:潜入,沉没"
go under water,v:潜水
go underwater,v:潜
go unloaded,v:放空
go unpunished,v:逍遥法外
go up,"v:破产,上浮,失败,增长,上涨,提价,上去,死,升班,升级,腾贵,上,升"
go up to,v:前往
go upon,"v:依据,假定"
go upstairs,v:上楼
go upstream undauntedly,v:知难而进
go vacationing,v:度假
go well,v:顺遂
go well with,v:相配
go west,"v:死亡,上西天,与世长辞,死,完了"
go whoring,v:嫖
go wild,v:发狂
go with,"v:了解,就,配合,处理,领会,打伙儿,带有,伴随"
go without,v:离
go without food,v:饿饭
go without saying,"v:不用说,毫无疑问"
go wrong,"v:出错,出乱子,出毛病"
goad,"v:驱使,刺激,唆使,煽动,激励,策动"
goad athlete,n:健儿
goad into,n:刺激
goaf,n:废矿
go-ahead,"n:活力,许可,精力"
goal,"n:目标,球门,目的,守门员,目的地,终点,门球"
goalie,n:守门员
goalkeeper,"n:守门员,门将"
goaltending,n:守门
go-around,"n:回旋,回合,拖延,躲闪"
goat,"n:山羊,牺牲品,羊皮"
goat skin,n:山羊皮
goat sucker,n:夜鹰
goatherd,n:牧羊人
goatpox,n:羊痘
goatskin,n:山羊皮
goatsucker,n:夜鹰
gob,"n:许多,矿渣,大量,水兵|v:吐"
gob up,n:充填
goban,n:五子棋
gobang,n:五子棋
gobbet,n:石块
gobble,"v:吞并,狼吞虎咽,吞,吞噬,并吞"
gobble up,"v:嘬,吞噬,狼吞虎咽,吞并,并吞"
gobbledygook,"n:官腔,官样文章"
go-between,"n:冰人,媒人,中间人,中人,媒"
gobi,n:戈壁滩
goblet,"n:高脚杯,酒杯,觚"
goblin,"n:精,小鬼,煞,魅,妖魔,妖怪,恶鬼,妖|a:精"
gobo,n:牛蒡
gob-stopper,n:棒棒糖
go-by,"n:冷落,不理"
go-cart,n:手推车
god,"n:上帝,神,天,上天,天主,老天,偶像,主,天神,神道,爷,神像,造物主,天公|v:神化"
god bless,v:祝福
god father,n:教父
god knows,v:天晓得
god the father,n:天父
god way,n:天道
god willing,n:天从人愿
goddamn,i:该死
goddess,"n:女神,天仙,娘娘,圣母,神女"
goddess of love,n:爱神
godet,n:肩胛
godfather,"n:教父,首领,监护人"
godhead,n:神
godman,n:神人
god-man,n:神人
godness,n:圣母
godown,n:仓库
godparent,n:教父
gods,"n:神灵,神明"
god's country,"n:故乡,乐土,祖国"
god's design,n:天机
god's favored one,v:天之骄子
god's plenty,"n:许多,丰盛"
god's will,"n:天意,天命"
godship,"n:神,神道,上帝"
goer,n:路人
gofer,"n:听差,皱褶"
goffer,n:皱褶
goggle,n:瞪眼
goggle-box,n:电视机
goggles,"n:护目镜,风镜"
going,"n:进行,行走,出发,道路,动身,举动,出行"
going to,n:待
going-over,"n:申诉,检查,痛打"
goings-on,"n:事件,勾当,品行,举动"
goiter,"n:甲状腺肿,大脖子病,瘿"
goitre,n:大脖子病
gold,"n:黄金,金,金子,镀金,金色,金币,金箔,金钱,财富,包金,币"
gold award,n:金奖
gold blocking,n:烫金
gold coast,n:黄金海岸
gold currency,n:金币
gold digging,n:淘金
gold faith,n:信义
gold flower,n:黄花
gold leaf,n:金箔
gold medal,n:金牌
gold medallist,n:冠军
gold millet dream,n:黄梁美梦
gold mine,"n:金矿,金山,宝库"
gold needle,n:金针
gold ore,n:金矿
gold plate,n:镀金
gold stamp,n:烫金
gold stamping,n:烫金
gold standard,n:金本位制
gold star,n:长庚
gold value,n:金价
gold washing,n:淘金
gold-brick,v:吊儿郎当|n:懒汉
golden,"a:金,金色,金黄,金灿灿,黄灿灿,黄澄澄|n:金色"
golden ages,n:黄金时代
golden apple,"n:珠宝,西红柿"
golden balls,n:当铺
golden bell,n:连翘
golden bowl,"n:大庭广众,金鱼缸"
golden boy,n:红人
golden cudgel,n:金箍棒
golden cypress,n:黄柏
golden delicious,n:金冠
golden eagle,n:鹫
golden hop,n:蛇麻
golden mean,"n:黄金分割,中庸之道,中庸"
golden metal,n:金牌
golden opinions,n:盛赞
golden opportunity,n:良机
golden oriole,n:黄鹂
golden saying,"n:至理名言,金玉良言"
golden thread,n:黄连
golden wedding,n:金婚
goldenrain tree,n:栾
goldenrod,n:黄花
goldfinch,n:金翅雀
goldfish,n:金鱼
goldfish bowl,n:金鱼缸
goldflower,n:黄花
goldleaf,n:金箔
goldthread,n:黄连
gole,"n:水沟,水门"
golem,n:机器人
golf,"n:高尔夫球,高尔夫"
goliath,n:巨人
gomuti palm,"n:桄榔,榔"
gonad,"n:生殖腺,性腺,卵巢"
gondola,"n:吊篮,短舱,敞篷车"
gondola car,n:敞车
gone clean,v:无影无踪
gone forever,"a:有去无回,泥牛入海"
goneness,n:衰弱
gonfalonier,"n:旗手,长官"
gong,"n:锣,巩,铜锣,龚,纪念章"
gongfu story,n:武侠小说
gongshu,n:公输
gonna,v:快要
gonochorism,n:雌雄异体
gonorrhea,"n:淋病,白浊"
gonorrhoea,n:淋病
goo,"n:臭味,伤感,甜言蜜语,雾"
goober,n:花生
good,"a:好,良好|n:甜头,用处|v:要得"
good advice,n:金口玉言
good at,"n:擅长,拿手,善于"
good at talking,n:能说会道
good athlete,n:健儿
good attitude,n:好气儿
good box-office,n:叫座
good brave fellows,n:英雄好汉
good buy,n:廉价品
good bye,n:再见
good chance,n:美事
good cheer,"n:兴致勃勃,意气风发,大吃大喝,作乐,神采奕奕"
good citizen,n:良民
good deal of,"n:大量,许多"
good deed,n:好事
good edition,n:善本
good evening,n:良宵
good example,"n:旗帜,楷模"
good faith,n:信义
good fellow,"n:好样的,好样儿的"
good field,n:良田
good food,n:粱
good for,"n:中,宜于"
good for nothing,"n:没出息,毫无用处"
good for sale,n:适销对路
good fortune,"n:幸运,造化,幸,嘏,休"
good friend,"n:诤友,良友,好友"
good general,n:良将
good graces,n:青睐
good gracious,"n:好家伙,乖乖"
good hand,n:好手
good harvest,n:丰收
good heaven,n:好家伙
good heavens,n:好家伙
good instructor,n:良师
good intention,"n:好心,美意,善心"
good intentions,n:善意
good jade,n:瑷
good lord,n:好家伙|i:好家伙
good luck,"n:彩头,菔,福,洪福,顺风,祺,幸运"
good man,n:好人
good manners,n:好气儿
good meal,n:美餐
good medicine,n:良药
good middling,n:上级
good morning,"n:早,早安"
good name,"n:令名,美誉"
good natured,a:好说话儿
good news,n:福音
good night,n:晚安
good number of,"n:许多,大量"
good offices,n:斡旋
good omen,n:彩头
good opportunity,n:良机
good people,n:良
good person,"n:好人,良人"
good plan,n:良方
good points,"n:长处,瑜"
good prospects,n:盼头
good quality,n:数得着
good recipe,n:良方
good reputation,"n:令名,美名,名望"
good sense,n:贤哲
good situation,n:政通人和
good taste,n:大雅
good temper,n:好性儿
good thing,n:好事
good tidings,n:佳音
good to eat,"n:可口,好吃"
good tool,n:利器
good turn,n:好事
good will,"n:善意,厚意"
good wine,"n:佳酿,醪,醇,玉液琼浆,醑"
good wish,n:美意
good words,n:良言
good year,n:大年
good-by,i:告别
goodbye,i:再见
good-bye,"i:再见,再会,慢走|n:告别,再见"
good-fellowship,"n:融洽,亲密,友情"
good-for-nothing,"n:饭桶,废人,窝囊废|a:不郎不秀"
good-for-nought,n:饭桶
goodliness,n:美丽
good-looking,a:好看|n:天资
goodman,n:主人
goodmannered,a:厚重
good-morning,n:早安
goodness,"n:善良,美德,养分,仁慈,优点,精华,优势"
goodnight,n:再见
good-old-chap,n:老好人
goods,"n:货物,商品,货,物品,制品,货色,动产,坯布,财宝"
goods allocation,n:货位
goods in stock,n:现货
goods rejected,n:退货
goods van,n:货车
goods wagon,n:货车
good-tempered,a:好性儿
goodwife,"n:主妇,女士"
goodwill,"n:友好,情意"
good-will,"n:信誉,友好,好意,热心,招牌,诚意"
goody,"n:糖果,好汉,英雄,甜食"
gooey,a:糖蜜
goof,"v:出错,混日子,闲荡|n:糊涂虫,傻瓜,疏忽"
goofball,"n:兴奋剂,镇静剂,饭桶"
goofer,n:傻瓜
go-off,"n:出发,着手,开始"
googly,n:板球
googol,n:大数
gook,n:废物
gool,n:水沟
goon,"n:打手,暴徒,无赖"
goondie,n:小屋
goose,"n:鹅,傻瓜,倒彩|v:促进,推动"
goose bumps,n:鸡皮疙瘩
goose down,n:鹅绒
goose egg,n:鹅蛋
goose flesh,n:鸡皮疙瘩
goose grass,n:蟋蟀草
goose skin,n:鸡皮疙瘩
gooseberry,n:醋栗
gooseflesh,n:鸡皮疙瘩
goosefoot,"n:莱,藜"
goosestep,n:正步
goose-step,v:正步
goosie,n:傻瓜
gopher,n:听差
goral,n:羚羊
gorbachev,n:戈尔巴乔夫
gorban,n:古尔邦节
gordon,n:戈登
gore,"n:角,血块|v:顶"
gorge,n:峡谷|v:狼吞虎咽
gorge oneself with,v:狼吞虎咽
gorgeous,"a:艳丽,华丽,斑斓,绚,华贵,华美,绚烂,绮,绚丽,绮丽,富丽堂皇,艳"
gorgeous dress,"n:艳妆,艳装,艳服"
gorgeousness,n:华丽
gorget,"n:领子,颈饰"
gorgon euryale,n:芡
gorgon euryale seed,n:芡实
gorgon fruit,n:芡实
gorgonize,v:石化
gorilla,"n:大猩猩,猩猩,打手,凶手"
gormandize,"v:狼吞虎咽,吞食|n:大吃大喝"
gormandizer,n:老饕
go-round,"n:轮班,表演"
goshawk,n:苍鹰
goshen,n:乐土
gosling,n:傻瓜
go-slow,n:怠工
gospel,"n:福音,信条,真理,福音书,真实,主义"
gossamer,n:游丝
gossip,"n:流言蜚语,闲话,闲谈,闲聊|v:扯,学舌,搬弄是非,道听途说"
gossip about nonsense,n:闲磕牙
gossip idly,v:说长道短
gossipy,"a:学舌,多嘴,婆婆嘴|v:多嘴"
gossoon,"n:少年,服务员"
got into trouble,v:犯事
gote,n:水路
gothic,n:哥特式|a:哥特式
gothicism,n:粗野
goudron,"n:沥青,焦油"
gouge,"n:凿,骗子,凿孔|v:欺诈"
gouging,v:欺诈
gourd,"n:葫芦,蠡,脑瓜,匏"
gourd ladle,n:瓢
gourmand,"n:美食家,饕餮"
gourmet's luck,n:口福
gout,"n:痛风,嗜好,块,水道,味道"
govemance,v:统辖
govern,"v:统治,治理,支配,控制,调节,管理,左右,抑制,指挥,指导,治,管,操纵,遏制,管辖,压制,艾,辖制,执掌,运转,统辖,统摄,统制,辖,宰"
governance,"n:统治,支配,管理"
governed by law,a:法治
governess of girl,n:姆
governing,"v:调整,节制"
government,"n:政府,政体,内阁,政治,管理,政权,政治学,支配,朝"
government affair,n:政要
government affairs,n:政事
government army,n:政府军
government bond,n:公债
government bonds,n:公债
government by law,n:法治
government circles,n:政界
government decree,n:政令
government department's running,n:政企不分
government expense,n:公款
government finance,n:财政
government gazette,n:公报
government loan,"n:公债,国债"
government man,n:官吏
government office,"n:府,公署,官署,公廨"
government offices,"n:机关,国家机关"
government official,"n:官吏,宰"
government officials,"n:公职,官员"
government party,n:执政党
government post,n:官职
government repository,n:府库
government security,n:公债
government share,n:公股
government-owned,n:国有
governor,"n:州长,总督,省长,统治者,市长,老板,头领,县长,控制器,司令官,调节器,太守"
governor-genera,n:总督
governor-general,"n:总督,督抚"
governorship,n:总督
gowk,"n:杜鹃,布谷鸟,傻子"
gown,"n:长袍,睡衣,大褂,袍子,罩袍,法官,袍,褂,外衣"
gown of buddhism,n:衿
gownsman,n:法官
goy,"n:粮食,异教徒,克"
goyle,n:峡谷
grab,"v:抓,抢,绰,窃夺,霸占,夺去,抄|n:挖掘机"
grab at,v:抓取
grab off,v:抢先
grabble,"v:夺取,搜索"
grace,"n:优雅,风度,优美,慈悲,恩,宽限,仁慈,光,体面,恩惠,风雅,美德,天恩,斯文,恩德,宽厚,恩赐,美容,恩典,飘逸,善意,特权,特赦权,装饰音|v:装饰,宽限"
grace in art,n:彩
graceful,"a:优美,妩媚,婀娜,娟秀,曼,阿,娟,雅,绰约,端丽,秀美,雍容,高雅,婷,婉,飘逸,帅"
graceful bearing,"n:丰采,丰韵,风度翩翩"
graceful figure,n:风姿绰约
graceful girls,n:闺秀
gracefully erect,v:婷婷
gracefully moving,n:翩翩
gracefulness,n:彩
gracility,"n:简洁,纤弱,苗条"
gracious,"a:宽厚,光"
graciously decline,"v:婉辞,婉言谢绝"
grackle,n:白头翁
grad,"n:毕业生,梯度,校友"
gradation,"n:等级,阶段,层次,灰度,分级,分等|d:分级"
gradation of difference,n:等差
grade,"n:成绩,等级,分数,级别,年级,等|v:打分|d:分级"
grade by grade,a:逐级
grade point,n:评分
grade school,n:小学
grades,n:分数
gradient,"n:梯度,坡度,倾斜度,斜坡,斜率"
gradienter,n:水平仪
grading,"n:粒度,分级,等级,分段,级差,校准|v:分级,筛分|d:分级"
grading fragment,n:分段
grads,"n:档级,梯度"
gradual change,n:渐变
gradually,"d:逐渐,渐渐,慢慢,逐步,缓缓,浸,渐|v:浸"
gradually appear,v:隐现
gradually plan,v:徐图
gradually vanish,v:消退
graduate,"n:毕业生,量杯,刻度|v:卒业"
graduate student,n:研究生
graduated,a:量杯
graduated circle,n:刻度盘
graduated disk,n:刻度盘
graduation,"n:毕业,刻度,浓缩"
graduation of scale,n:刻度
graduation true-up,n:校准
gradus,n:韵律
graff,n:河渠
graffito,n:岩画
graft,"v:嫁接,移植|n:嫁接,移植,贪污,接穗,受贿"
graftage,n:嫁接
grafting,"v:嫁接,移植"
grail,"n:砾石,杯,鹅卵石,圣杯"
grain,"n:粮食,谷物,颗粒,谷粒,粒,晶粒,粒子,纹理,种子,粒度,粮,谷子,特性,食粮,子粒,子实,脾气,颜色,质地,籽粒,些微,原粮,征购粮|v:分岔"
grain alcohol,n:乙醇
grain bin,n:囤
grain coupon,n:粮票
grain crystal,n:晶粒
grain depot,n:粮栈
grain drill,n:播种机
grain elevator,"n:粮仓,谷仓"
grain field,n:粮田
grain fineness,n:粒度
grain full,n:小满
grain husk,n:颖
grain in ear,n:芒种
grain levies,"n:征实,征粮"
grain of rice,n:饭粒
grain price,n:粮价
grain rain,n:谷雨
grain ration,n:口粮
grain receptacle,"n:敦,囤"
grain reserves,n:储备粮
grain seedling,n:禾苗
grain seller,n:粮商
grain shop,n:粮行
grain size,n:粒度
grain sorghum,n:高粱
grain tax,n:粮
grain-by-grain seed selection,n:粒选
grainfield,n:粮田
graininess,n:粒状
graining,n:纹理|v:纹理
grains,n:稼
grait,n:卵石
graith,n:衣服
gram,"n:克,绿豆,公分"
gram atom,n:克原子
gramary,n:魔术
gram-equivalent weight,n:克当量
gramercy,i:多谢
grammalogue,n:速记
grammar,"n:语法,文法,语法学,文理,入门"
grammar school,"n:小学,初级中学"
grammatically-partial word,n:虚词
gramme,n:克
grammol,n:克分子
grammole,n:克分子
gramophone,"n:留声机,电唱机,唱机,话匣子"
gramophone disc,"n:唱片儿,唱盘"
gramophone needle,n:唱针
gramophone record,"n:唱片,片子"
granada,n:石榴
granary,"n:粮仓,谷仓,仓廪,廪,廒"
grand,"a:隆重,盛大,宏伟,雄伟,宏大,堂皇,浩,壮,宏,盛,雄|v:盛装,盛|n:王"
grand banquet,n:盛宴
grand celebration,n:大庆
grand ceremony,"n:大典,盛典"
grand children,n:祖孙
grand climax,n:顶点
grand coordinators,n:巡抚
grand duchy,n:公国
grand justice,n:大法官
grand larceny,"n:勒索,敲诈"
grand meeting,n:盛会
grand mother,n:伯祖母
grand occasion,n:盛事
grand old man,"n:元老,老人家"
grand pardon,n:开恩
grand parents,n:祖父母
grand plan,n:猷
grand prix,n:大奖赛
grand prospect,n:弘图
grand prospects,n:鸿图
grand secretary,n:大学士
grand sight,n:壮观
grand slam,n:全胜
grand special favour,n:恩典
grand spectacle,n:画卷
grand total,"n:累计,总值"
grand tutor,n:太师
grand uncle,n:伯祖
grandad,"n:爷爷,老大爷,公公"
grandam,"n:外祖母,祖母"
grandame,n:祖母
grandaunt,"n:伯祖母,姑奶奶,叔祖母,姑婆,姨婆"
grandchild,"n:孙女,孙子,外孙女,外孙"
grandchildren,n:外孙女
granddad,"n:公公,老伯,爷爷,老伯伯"
granddaughter,"n:孙女,外孙女"
granddaughter-in-law,n:孙媳妇
grandee,"n:高官,显贵"
grandeur,"n:壮观,崇高,富丽堂皇,伟大,豪华|a:壮观"
grandfather,"n:祖父,爷爷,外祖父,外公,祖先,祖,爷,公公,老爷,老爷儿,老大爷,始祖"
grandiloquence,"n:豪语,夸大,豪言壮语,夸张"
grandiloquent words,n:过甚其词
grandiose,"a:洋洋大观,沾沾自喜,壮"
grandiose plan,n:雄图
grandiosity,"n:夸张,堂皇,宏大,宏伟,辉煌,铺张"
grandiouse,a:宏伟
grandma,"n:奶奶,姥姥,外婆,老太婆,姥"
grandmamma,n:外婆
grandmather,n:外祖母
grandmother,"n:祖母,奶奶,外婆,老奶奶,外祖母,老娘,婆婆,姥姥,姥"
grandnephew,n:侄孙
grandness,"n:伟大,宏伟,庄严,壮观,堂皇,华丽,宏大"
grandniece,n:侄孙女
grandpa,"n:爷爷,老伯伯,老爷儿,老爷爷,老公公,公公,外公,老大爷,大爷,老爷"
grandpapa,"n:爷爷,外公"
grandparents,n:祖父母
grandsire,"n:老者,祖父,祖先"
grandson,"n:孙子,外孙,孙"
grandson's wife,n:孙媳妇
grandstand,n:看台
granduncle,n:叔祖
grange,"n:农舍,庄园,谷仓"
granger,n:农夫
grangerize,v:插入
granite,"n:花岗岩,花岗石"
grannie,"n:外婆,老奶奶,奶奶"
granny,"n:老大娘,奶奶,阿妈,阿婆,老婆婆,老婆儿,老老"
grant,"v:答应,承认|n:赠款,给与,锡,答应,津贴,许可,承认"
grant a reward,"v:赏赐,赏,赏封"
grant somebody permission,n:批准
grant that,v:假定
granted that,v:就算
grant-in-aid,"n:补助金,拨款,助学金"
granular,a:粒状
granularity,n:粒度
granulated fertilizer,n:粒肥
granulation,n:颗粒
granule,"n:颗粒,粒子,粒,米粒,团粒,砂砾"
granulose,a:粒状
grape,"n:葡萄,葡萄酒"
grape juice,n:葡萄汁
grape sugar,n:葡萄糖
grapefruit,n:柚子
grapery,n:葡萄园
grapeshot,n:霰弹
grapevine,"n:小道消息,谣言,传闻,小广播"
graph,"n:图表,图形,曲线图,图解,胶版|v:图解"
graph paper,"n:图纸,方格纸"
grapheme,n:字母
graphic,"n:图表,图像|a:传神,图示|v:图示"
graphic analysis,n:图解
graphic expression,n:图示
graphic formula,n:结构式
graphic method,n:图解法
graphic solution,"n:图示,图解"
graphical formula,n:结构式
graphical plot,n:制图
graphical representation,n:图示
graphical units,n:比例尺
graphics,"n:书法,图解,制图学"
graphics board,n:绘图板
graphics tablet,n:绘图板
graphite,"n:石墨,青灰,炭精,笔铅,煤精"
graphite pig iron,n:灰口铁
graphology,n:图解法
grapple,"v:扭打,搏斗,扭,抓住,钩住,拼杀,格斗|n:扭打,紧握,格斗"
grapple with,v:扭
grasp,"v:抓住,掌握,理解,会,紧握|n:把握,把,领会,统制"
grasp at,v:抓住
grasp the essence,v:透视
grasping,v:夹住
grasping for breath,n:气咻咻
grasping with astonishment,n:骇然
grass,"n:草,草地,青草,牧草,牧场,春天,禾草,芦笋|v:告密,打倒,放牧"
grass carp,n:鲩
grass cloth,n:夏布
grass cutter,n:割草机
grass for sheep,n:羊草
grass green,n:草绿色
grass hopper,"n:蝗虫,蚱蜢,告密者,警察"
grass lawn,n:麻纱
grass linen,n:夏布
grass mower,n:剪草机
grass root,n:草根
grass roots,"n:草根,根源"
grass rope,n:草绳
grass script,n:草书
grass shed,n:茅屋
grass writing,n:草体
grass-and-insect painting,n:草虫
grass-blade,n:草叶
grasshopper,"n:蚱蜢,蝗虫"
grassland,"n:草地,牧场,草场,芜"
grasslands,n:草原
grass-leaved sweetflag,n:石菖蒲
grassplot,n:草地
grassy marshland,"n:草甸,草泽"
grate,"n:炉箅子,壁炉|v:轧,激怒,磨损,磨擦"
grateful,v:知情|a:荷
grater,n:磨光机
gratification,"n:喜悦,满足,奖金"
gratified,"a:快,称意,甜丝丝,甜滋滋|v:甜丝丝,甜滋滋,快"
gratify,"v:满足,奖赏,可意"
gratifying,"a:可喜,喜人|v:沁人心脾"
grating,"n:光栅,格子,摩擦"
gratis,"d:免费,无偿|a:白|v:免费"
gratitude,"n:谢意,感谢,谢忱,礼物,感纫"
gratuitous,"a:平白,无故,无偿|v:平白"
gratuitously,"d:无偿,平白,等闲|a:等闲"
gratuity,"n:服务费,养老金,赏金,小费,小帐"
gratulate,v:贺
gratulation,"n:祝贺,满足"
graupel,"n:霰,雪糁"
gravamen,"n:不平,诉苦"
grave,"n:坟墓,死,墓|a:危重,庄|v:铭刻"
grave goods,n:殉葬品
grave hill,n:坟山
grave in,n:铭刻
grave monument,n:墓碑
grave mound,n:坟头
grave on,n:铭刻
grave wax,n:尸蜡
graveclothes,n:寿衣
gravel,"n:砾石,砂砾,砂石,料石|v:激怒"
graveled path,n:石子路
graveness,"n:严重性,重大"
graver,"n:雕刻师,雕刻刀,刻刀"
gravestone,"n:墓碑,神道碑"
graveyard,"n:墓地,坟地,坟茔,墓园,墓场"
graveyard shift,n:夜班
gravida,n:孕妇
gravidity,"n:妊娠,怀孕"
gravimeter,n:比重计
graving,"v:雕刻,雕刻品"
gravitate,"v:倾向,吸引,沉降,沉淀"
gravitation,"n:引力,万有引力,重力,地心引力,吸引力,下沉,倾向"
gravitational attraction,n:万有引力
gravitational force,n:地心引力
gravitational pull,n:地心引力
gravity,"n:重力,引力,严重性,严肃,庄重,重要性,重量,认真,危险性"
gravity force,n:重力
gravity irrigation,n:自流灌溉
gravity meter,n:比重计
gravity suit,n:宇宙服
gravure,n:凹版
gravy,n:肉汁
gray,"n:灰色,灰|a:苍苍"
gray hair,n:白发
gray iron,n:灰铁
gray matter,"n:智力,主意,点子,人脑"
gray scale,n:灰度
gray soil,n:灰土
graybeard,"n:老翁,老人,老头"
grayness,n:灰色
graze,"v:吃,擦伤,放牧,掠过,轮牧|n:畜牧,牧草"
grazing,"n:牧场,牧草,牧地,放牧|v:轮牧,牧地,放牧"
grease,"n:油脂,油|v:贿赂"
grease spots,n:油迹
greasepaint,n:油彩
greaser,"n:加油器,修理工"
greasiness,"n:滑溜,油污"
greasy,"a:油腻,腻,腻人,肥|v:腻"
greasy filth,"n:油垢,油泥"
greasy food,n:油腻
great,"a:大,伟大,重大,了不起,宏大,伟岸,弘,了不得,浩|n:名家,大师,王"
great achievement,"n:伟绩,硕果"
great achievements,n:硕果
great affliction,n:涂炭
great ambition,n:弘愿
great ambitions,n:雄心壮志
great aspiration,"n:壮心,宏愿"
great aspirations,"n:宏愿,弘愿"
great at,"n:擅长,精通"
great beyond,"n:彼岸,阴间"
great blessing,n:鸿运
great blood-shed,n:腥风血雨
great boat,n:艘
great britain,n:英国
great buddha,n:大佛
